Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Grand Total
Samaje Perine,11.8,5.4,4.4,5.5,11.5,1.6,7.1,4.1,0,7.3,13.7,13.6,2.6,9.4,5.8,6.9,4.6,6,121.3
Saquon Barkley,9.3,27.2,0,0,0,13.8,18.8,15.8,14.3,7.1,30,6.2,0,23.1,5.7,19.4,8.8,23.7,223.2
SaRodorick Thompson Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Tucker,4.4,0.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2
Taiwan Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tank Bigsby,5.3,0,7,1,0.8,1.8,0.2,-1.1,0,0.5,2.1,0.6,0,0,-0.2,0,3.2,1.6,22.8
Tony Jones Jr.,0.5,15.4,9.2,0,0,0,0,0,2.7,1.3,3.1,0,0,0,0,0,0,0,32.2
Tony Pollard,22.2,19.9,15.1,9,8.4,17,0,6.5,9.3,5.5,18,22.3,17.3,16.6,7.7,5.3,5.9,16.6,222.6
Travis Etienne Jr.,21.4,6.2,17.8,10.2,36.4,23.3,22.7,25.9,0,6.4,8.9,12.6,17.9,17.2,9.9,6.1,25.8,13.7,282.4
Travis Homer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trayveon Williams,0.7,2.4,0.4,0.4,0.5,2.3,0,0.6,1.3,1.2,2,0,0,0.9,2.2,0,0.2,-0.2,14.9
Trey Sermon,0,0,3.1,0.7,0,0,0,0,0,0,0,0,0,1.3,8.8,0.3,6.1,0,20.3
Ty Chandler,2.8,2.9,4.1,0,1.5,0,2.2,0,0,10.5,15,2.1,0,7.2,24.7,7.7,9.4,10.9,101
Ty Johnson,0,0,0,0,0,0,0,0,0,0.2,14.8,1.9,0,4.1,6.8,0,2.2,2.4,32.4
Tyjae Spears,3.8,7.5,4.9,8.8,16.9,7.3,0,6.6,6.2,10,4.6,1.7,12.8,17.8,4.7,11.7,6.9,21.6,153.8
Tyler Allgeier,24.4,4.8,4.9,2.2,6,5.1,14.2,3.1,11,4.8,0,6.4,2.6,4,6.1,15.8,15.8,6.4,137.6
Tyler Goodson,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0.8,9.9,4,0.3,0,18.1
Tyrion Davis-Price,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1
Xazavian Valladay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Charbonnet,1.1,5,5.5,5,0,3.9,0,8.4,2.3,10.2,12.9,9.8,16.9,5.8,1.6,0.6,9.1,8,106.1
Zach Evans,0,0,0,0,0,1,0,0,0,0,0,0.6,0,0,0,0,0,0.3,1.9
Zack Moss,0,20.7,22.5,9,33.5,17.9,7.2,14.4,2.6,0.2,0,9,7.7,9.6,12.3,0,0,3,169.6
Zamir White,1.7,0.2,0,1.5,0,2.9,5.8,0,-0.2,0.5,0,0,0,0.8,17.5,14.5,15.6,13.1,73.9
Zonovan Knight,0,0,1.3,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1
